"Opted.out.of.all.email","First.email.send.date","Last.email.send.date","Emails.Delivered"
FALSE,2014-02-05,2014-07-28,26
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,25
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,25
FALSE,2014-02-05,2014-07-30,28
FALSE,2014-02-05,2014-07-28,16
FALSE,2014-02-05,2014-07-28,21
FALSE,2014-02-05,2014-07-28,26
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-07-23,2014-07-28,2
FALSE,2014-02-05,2014-07-28,16
FALSE,2014-02-05,2014-07-28,28
FALSE,2014-02-05,2014-07-28,31
FALSE,2014-02-05,2014-07-29,24
FALSE,2014-02-05,2014-07-29,31
FALSE,2014-02-05,2014-07-28,32
FALSE,2014-02-05,2014-07-29,32
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-13,2014-07-28,18
FALSE,2014-02-05,2014-07-28,37
FALSE,2014-01-31,2014-07-28,21
FALSE,2014-02-05,2014-07-28,22
FALSE,2014-02-05,2014-07-28,28
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,17
FALSE,2014-02-05,2014-07-28,26
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-29,23
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,28
FALSE,2014-02-05,2014-07-28,21
FALSE,2014-02-05,2014-07-29,22
FALSE,2014-02-05,2014-07-28,37
FALSE,2014-02-07,2014-07-28,21
TRUE,2014-02-05,2014-06-24,16
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,21
FALSE,2014-02-05,2014-07-28,24
TRUE,2014-02-05,2014-02-24,2
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,26
FALSE,2014-02-05,2014-07-28,16
FALSE,2014-02-05,2014-07-28,13
FALSE,2014-02-05,2014-07-28,28
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,21
FALSE,2014-02-05,2014-07-28,30
FALSE,2014-02-05,2014-07-29,16
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,25
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,33
FALSE,2014-02-05,2014-07-28,27
FALSE,2014-02-05,2014-07-30,20
FALSE,2014-02-05,2014-07-28,37
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,21
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-29,26
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-07,2014-07-29,43
FALSE,2014-02-05,2014-07-28,30
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,25
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,35
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,17
FALSE,2014-07-23,2014-07-28,2
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,26
FALSE,2014-02-07,2014-07-28,19
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-07,2014-07-29,20
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,17
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-29,14
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,25
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,27
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,15
FALSE,2014-02-05,2014-07-28,28
FALSE,2014-02-05,2014-07-28,32
FALSE,2014-04-22,2014-07-28,18
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,22
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,33
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,11
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,25
FALSE,2014-02-05,2014-07-28,16
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,27
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,27
FALSE,2014-02-05,2014-07-28,37
FALSE,2014-02-05,2014-07-28,22
FALSE,2014-02-05,2014-07-28,26
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,35
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,21
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-29,33
TRUE,2014-02-05,2014-02-05,1
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,27
FALSE,2014-02-05,2014-07-28,38
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,17
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,22
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,32
FALSE,2014-02-24,2014-07-28,14
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,25
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,32
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-29,31
FALSE,2014-02-07,2014-07-28,23
FALSE,2014-07-23,2014-07-28,2
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-06-30,39
