"product","date","revenue","units"
859,2011-07-25,2600,989
863,2011-07-25,2117,1442
869,2011-07-25,6618,1182
871,2011-07-25,0,1
880,2011-07-25,0,1
881,2011-07-25,3770,2
883,2011-07-25,5826,305
890,2011-07-25,18250,305
892,2011-07-25,5101,649
893,2011-07-25,5240,1140
894,2011-07-25,6134,1205
959,2011-07-25,0,1
963,2011-07-25,0,1
969,2011-07-25,0,1
971,2011-07-25,0,1
980,2011-07-25,0,1
981,2011-07-25,0,1
983,2011-07-25,0,1
990,2011-07-25,0,1
992,2011-07-25,0,1
993,2011-07-25,0,1
994,2011-07-25,0,1
1799,2011-07-25,4863,940
1800,2011-07-25,5132,969
1802,2011-07-25,8703,1266
2022,2011-07-25,24933,870
2031,2011-07-25,0,1
2060,2011-07-25,0,1
2080,2011-07-25,0,1
2083,2011-07-25,0,1
2155,2011-07-25,0,1
2186,2011-07-25,0,1
2250,2011-07-25,0,1
2261,2011-07-25,0,1
2286,2011-07-25,7392,1745
2332,2011-07-25,10203,1104
2342,2011-07-25,12567,1144
2371,2011-07-25,0,1
2394,2011-07-25,20878,1589
2673,2011-07-25,0,1
2692,2011-07-25,14826,1420
2810,2011-07-25,2207,1442
2825,2011-07-25,0,1
2897,2011-07-25,0,1
3004,2011-07-25,20142,1589
3005,2011-07-25,30298,385
3006,2011-07-25,21052,1655
3031,2011-07-25,64369,243
3130,2011-07-25,56474,243
3207,2011-07-25,28765,1611
3278,2011-07-25,21985,913
3384,2011-07-25,0,1
3428,2011-07-25,9203,582
3431,2011-07-25,5130,250
3432,2011-07-25,8885,169
3437,2011-07-25,9571,1311
3451,2011-07-25,0,1
3518,2011-07-25,5900,2
3547,2011-07-25,0,1
3707,2011-07-25,0,1
3738,2011-07-25,14325,1431
3768,2011-07-25,3413,369
3822,2011-07-25,0,1
3841,2011-07-25,43003,741
3982,2011-07-25,3276,234
4058,2011-07-25,12365,805
4145,2011-07-25,0,1
4216,2011-07-25,0,1
4329,2011-07-25,0,1
4376,2011-07-25,3507,196
4402,2011-07-25,2334,1821
4404,2011-07-25,2750,24
4413,2011-07-25,2902,150
4445,2011-07-25,2816,98
4620,2011-07-25,0,1
4636,2011-07-25,0,1
4652,2011-07-25,2949,143
5034,2011-07-25,15549,713
5097,2011-07-25,0,1
5106,2011-07-25,0,1
5204,2011-07-25,40201,243
5239,2011-07-25,0,1
5257,2011-07-25,7126,1665
5277,2011-07-25,0,1
5309,2011-07-25,15640,1387
5328,2011-07-25,0,1
5429,2011-07-25,0,1
5434,2011-07-25,22242,63
5545,2011-07-25,11062,744
5546,2011-07-25,9620,887
5587,2011-07-25,0,1
5621,2011-07-25,11741,853
5694,2011-07-25,10030,2
5770,2011-07-25,0,1
5802,2011-07-25,30082,464
5805,2011-07-25,64825,1001
5828,2011-07-25,52823,1736
5855,2011-07-25,209779,360
5928,2011-07-25,2025,648
5933,2011-07-25,4900,1387
5942,2011-07-25,7536,589
5950,2011-07-25,0,1
5977,2011-07-25,21160,1568
5980,2011-07-25,43978,1646
5981,2011-07-25,53584,1570
5982,2011-07-25,62521,1685
5984,2011-07-25,65633,24
5985,2011-07-25,168592,706
5987,2011-07-25,24841,577
5989,2011-07-25,77738,1540
5992,2011-07-25,27775,471
5995,2011-07-25,2900,2
5996,2011-07-25,17127,772
6009,2011-07-25,2404,415
6010,2011-07-25,4801,1237
6011,2011-07-25,0,1
6014,2011-07-25,18764,459
6015,2011-07-25,23178,1038
6018,2011-07-25,15537,385
6019,2011-07-25,34566,1611
6022,2011-07-25,16470,648
6023,2011-07-25,0,1
6024,2011-07-25,0,1
6025,2011-07-25,69693,1447
6026,2011-07-25,46808,1746
6032,2011-07-25,16305,1223
6050,2011-07-25,33645,1051
6060,2011-07-25,18834,81
6063,2011-07-25,36589,626
6064,2011-07-25,22636,322
6065,2011-07-25,14572,424
6066,2011-07-25,54367,1682
6075,2011-07-25,17848,1492
6076,2011-07-25,38409,1136
6078,2011-07-25,0,1
6079,2011-07-25,8985,1248
6081,2011-07-25,41974,1773
6082,2011-07-25,40524,1255
6083,2011-07-25,20544,1249
6088,2011-07-25,0,1
6090,2011-07-25,0,1
6124,2011-07-25,123738,88
6126,2011-07-25,38489,1496
6127,2011-07-25,47336,959
6130,2011-07-25,87252,1711
6136,2011-07-25,33499,528
6145,2011-07-25,5890,2
6146,2011-07-25,6487,1766
6149,2011-07-25,7417,917
6152,2011-07-25,0,1
6160,2011-07-25,0,1
6169,2011-07-25,12017,1120
6176,2011-07-25,10537,464
6179,2011-07-25,0,1
6210,2011-07-25,14041,741
6221,2011-07-25,93762,567
6235,2011-07-25,0,1
6249,2011-07-25,7516,4
6253,2011-07-25,0,1
6270,2011-07-25,6889,1120
6279,2011-07-25,0,1
6296,2011-07-25,16955,1450
6297,2011-07-25,16844,1422
6298,2011-07-25,15313,1319
6299,2011-07-25,16150,1385
6300,2011-07-25,11787,1225
6301,2011-07-25,13205,1285
6302,2011-07-25,4966,1811
6303,2011-07-25,0,1
6304,2011-07-25,2470,3
6305,2011-07-25,6960,2
6306,2011-07-25,16049,1140
6308,2011-07-25,9872,1014
6309,2011-07-25,10611,969
6312,2011-07-25,22758,496
6313,2011-07-25,12393,1503
6316,2011-07-25,5415,81
6317,2011-07-25,8454,445
6318,2011-07-25,0,1
6365,2011-07-25,0,1
6504,2011-07-25,0,1
6643,2011-07-25,0,1
6675,2011-07-25,0,1
6706,2011-07-25,3306,915
6709,2011-07-25,0,1
6761,2011-07-25,19279,190
6799,2011-07-25,0,1
6808,2011-07-25,12482,1455
6814,2011-07-25,11496,1600
6818,2011-07-25,11186,1514
6882,2011-07-25,0,1
6932,2011-07-25,0,1
6969,2011-07-25,0,1
6971,2011-07-25,8348,1611
7165,2011-07-25,31421,1353
7198,2011-07-25,20418,1074
