"product","description"
280672,"CHOCOLATE CLASSIC MANI NESTLE 600 G"
362148,"DISPLAY DROPS COOKIESNCREME HERSHEYS 1116 G"
533486,"TRIDENT SPLASH YERBABUENA SAND 144 G"
362803,"DISPLAY DROPS MILK KING HERSHEYS 1116 G"
814117,"TROZOS DE CAFE 70 DE CACAO SANTANDER 700 G"
153231,"BARRA MILK CHCOLATE HERSHEYS 40 G"
280373,"CHOCOLATE CLASSIC LECHE NESTLE 600 G"
416865,"TRIDENT CONNECTION RIO 319 G"
983323,"MILK MINIS FIGURINE M&M 30 G"
655794,"G.MASCAR CONNECTION LONDON TRIDENT 319 G"
819044,"GOMA DE MASCAR PEPPERMINT ECLIPSE 202 G"
719851,"HALLS XS CHERRY LYPTUS 204 G"
282263,"CHOCOLATE LINDT PRALINES SWISS 215 G"
829937,"GOMA DE MASCAR SPEARMINT ECLIPSE 202 G"
6160,"CHICLETS MENTA 20S ADAM S 313 G"
625424,"ESTUCHE SWISS MILK CHOCOLATE LINDT 250 G"
655502,"G.MASCAR CONNECTION MANHATTAN TRIDENT 319 G"
814105,"CHOCOLATE SANTANDER 70 CACAO 700 G"
282209,"CHOCOLATE LINDT PRALINES DESSE 120 G"
804105,"GOMA D EMASCAR FIVE RAIN 405 G"
814079,"CHOCOLATE SANTANDER 36 CACAO 700 G"
801402,"GOMA DE MASCAR BUBLEMINT ORBIT 319 G"
280846,"CHOCOLATE CLASSIC BLANCO NESTLE 600 G"
931281,"CHOCOLATE SWISS TRADITION LINDT 145 G"
238855,"GALLETAS TRADICIONAL 1000 GR LAMBERTZ MARCA EXCLUSIVA"
238800,"GALLETAS BESTSELECTION 1000 GR LAMBERTZ MARCA EXCLUSIVA"
682942,"TRIDENT SPLASH MENTA VAINILLA 144 G"
968324,"GALLETA SURTIDA MINI VOGLIE LINDT 600 G"
915222,"CHOCOLATES CANTABILE TIN RED GLOBAL 200 G"
801299,"GOMA DE MASCAR SPEARMINT ORBIT 319 G"
802203,"GOMA DE MASCAR FIVE COBALT 405 G"
205697,"TRIDENT TOTAL MENTA 195 G"
711207,"DULCE CHOCOLATE MMS NUTCRACKE M&M 12 UN"
13446,"HALLS SANDIA 144 G"
814114,"CHOCOLATE SAN ESPRESSO70CACAO SANTANDER 700 G"
801400,"GOMA DE MASCAR PEPPERMINT ORBIT 319 G"
522314,"ESTUCHE TRUFAS SURTIDASx30 MARIAELISA 250 G"
826691,"ESTUCHE BOMBONES DIAMANTADO FERRERO ROCHER 300 G"
655753,"G.MASCAR CONNECTION BALI TRIDENT 319 G"
238819,"GALLETAS EXQUISIT 750 GR LAMBERTZ MARCA EXCLUSIVA"
289867,"CHOCOLATE LINDT CORNET ASSORTE 1 UN"
493950,"RAFFAELLO T3 X 16 X 4 PADRE 480 G"
761927,"LATA GALLETAS DE MANTEQUILLA ROYAL DANSK 908 G"
633292,"CHOCOLATES  TRUFFLINA GUYLIAN 10 UN"
682831,"TRIDENT TOTAL MORAZUL   12/12S 196 G"
660428,"JET LECHE PLEGADIZA X22 UNID 1100 G"
713286,"JUMBO MANI PLEGADISA X 24 UND 960 G"
814092,"CHOCOLATE SANTANDER 65 CACAO 700 G"
