"product","date","revenue","units","price"
859,"2011-07-25",2600,989,2.62891809908999
863,"2011-07-25",2117,1442,1.46809986130374
869,"2011-07-25",6618,1182,5.5989847715736
871,"2011-07-25",0,1,0
880,"2011-07-25",0,1,0
881,"2011-07-25",3770,2,1885
883,"2011-07-25",5826,305,19.1016393442623
890,"2011-07-25",18250,305,59.8360655737705
892,"2011-07-25",5101,649,7.8597842835131
893,"2011-07-25",5240,1140,4.59649122807018
894,"2011-07-25",6134,1205,5.09045643153527
959,"2011-07-25",0,1,0
963,"2011-07-25",0,1,0
969,"2011-07-25",0,1,0
971,"2011-07-25",0,1,0
980,"2011-07-25",0,1,0
981,"2011-07-25",0,1,0
983,"2011-07-25",0,1,0
990,"2011-07-25",0,1,0
992,"2011-07-25",0,1,0
993,"2011-07-25",0,1,0
994,"2011-07-25",0,1,0
1799,"2011-07-25",4863,940,5.17340425531915
1800,"2011-07-25",5132,969,5.29618163054696
1802,"2011-07-25",8703,1266,6.87440758293839
2022,"2011-07-25",24933,870,28.6586206896552
2031,"2011-07-25",0,1,0
2060,"2011-07-25",0,1,0
2080,"2011-07-25",0,1,0
2083,"2011-07-25",0,1,0
2155,"2011-07-25",0,1,0
2186,"2011-07-25",0,1,0
2250,"2011-07-25",0,1,0
2261,"2011-07-25",0,1,0
2286,"2011-07-25",7392,1745,4.23610315186246
2332,"2011-07-25",10203,1104,9.24184782608696
2342,"2011-07-25",12567,1144,10.9851398601399
2371,"2011-07-25",0,1,0
2394,"2011-07-25",20878,1589,13.139081183134
2673,"2011-07-25",0,1,0
2692,"2011-07-25",14826,1420,10.4408450704225
2810,"2011-07-25",2207,1442,1.53051317614424
2825,"2011-07-25",0,1,0
2897,"2011-07-25",0,1,0
3004,"2011-07-25",20142,1589,12.6758967904342
3005,"2011-07-25",30298,385,78.6961038961039
3006,"2011-07-25",21052,1655,12.7202416918429
3031,"2011-07-25",64369,243,264.893004115226
3130,"2011-07-25",56474,243,232.40329218107
3207,"2011-07-25",28765,1611,17.8553693358163
3278,"2011-07-25",21985,913,24.0799561883899
3384,"2011-07-25",0,1,0
3428,"2011-07-25",9203,582,15.8127147766323
3431,"2011-07-25",5130,250,20.52
3432,"2011-07-25",8885,169,52.5739644970414
3437,"2011-07-25",9571,1311,7.30053394355454
3451,"2011-07-25",0,1,0
3518,"2011-07-25",5900,2,2950
3547,"2011-07-25",0,1,0
3707,"2011-07-25",0,1,0
3738,"2011-07-25",14325,1431,10.0104821802935
3768,"2011-07-25",3413,369,9.24932249322493
3822,"2011-07-25",0,1,0
3841,"2011-07-25",43003,741,58.0337381916329
3982,"2011-07-25",3276,234,14
4058,"2011-07-25",12365,805,15.360248447205
4145,"2011-07-25",0,1,0
4216,"2011-07-25",0,1,0
4329,"2011-07-25",0,1,0
4376,"2011-07-25",3507,196,17.8928571428571
4402,"2011-07-25",2334,1821,1.28171334431631
4404,"2011-07-25",2750,24,114.583333333333
4413,"2011-07-25",2902,150,19.3466666666667
4445,"2011-07-25",2816,98,28.734693877551
4620,"2011-07-25",0,1,0
4636,"2011-07-25",0,1,0
4652,"2011-07-25",2949,143,20.6223776223776
5034,"2011-07-25",15549,713,21.8078541374474
5097,"2011-07-25",0,1,0
5106,"2011-07-25",0,1,0
5204,"2011-07-25",40201,243,165.43621399177
5239,"2011-07-25",0,1,0
5257,"2011-07-25",7126,1665,4.27987987987988
5277,"2011-07-25",0,1,0
5309,"2011-07-25",15640,1387,11.2761355443403
5328,"2011-07-25",0,1,0
5429,"2011-07-25",0,1,0
5434,"2011-07-25",22242,63,353.047619047619
5545,"2011-07-25",11062,744,14.8682795698925
5546,"2011-07-25",9620,887,10.8455467869222
5587,"2011-07-25",0,1,0
5621,"2011-07-25",11741,853,13.7643610785463
5694,"2011-07-25",10030,2,5015
5770,"2011-07-25",0,1,0
5802,"2011-07-25",30082,464,64.8318965517241
5805,"2011-07-25",64825,1001,64.7602397602398
5828,"2011-07-25",52823,1736,30.4279953917051
5855,"2011-07-25",209779,360,582.719444444444
5928,"2011-07-25",2025,648,3.125
5933,"2011-07-25",4900,1387,3.53280461427541
5942,"2011-07-25",7536,589,12.7945670628183
5950,"2011-07-25",0,1,0
5977,"2011-07-25",21160,1568,13.4948979591837
5980,"2011-07-25",43978,1646,26.7181044957473
5981,"2011-07-25",53584,1570,34.1299363057325
5982,"2011-07-25",62521,1685,37.1044510385757
5984,"2011-07-25",65633,24,2734.70833333333
5985,"2011-07-25",168592,706,238.798866855524
5987,"2011-07-25",24841,577,43.051993067591
5989,"2011-07-25",77738,1540,50.4792207792208
5992,"2011-07-25",27775,471,58.9702760084926
5995,"2011-07-25",2900,2,1450
5996,"2011-07-25",17127,772,22.1852331606218
6009,"2011-07-25",2404,415,5.79277108433735
6010,"2011-07-25",4801,1237,3.88116410670978
6011,"2011-07-25",0,1,0
6014,"2011-07-25",18764,459,40.880174291939
6015,"2011-07-25",23178,1038,22.3294797687861
